"","Goals","Assists","Points","PlMi","PIM","PPP","SHG","ATOI","SOG","HIT","BLK","GS","W","SV","SO","GAA","Result"
"1","11","18","29","3","37","9","0","1161","86","40","24","3","1","56","0","3.043","Win"
"2","7","5","12","-10","22","4","0","1117","75","41","20","4","0","129","0","3.023","Loss"
"3","6","10","16","-4","42","5","0","1145","71","38","29","4","1","102","0","2.245","Win"
"4","2","12","14","-4","16","4","0","1151","53","50","35","3","3","83","0","3.562","Loss"
"5","2","10","12","-18","9","5","0","1151","46","46","31","2","2","45","0","3.507","Loss"
"6","4","11","15","-2","10","5","0","1230","79","42","42","3","2","77","0","3.000","Win"
"7","7","18","25","9","23","9","0","1147","67","27","18","4","2","137","0","2.960","Loss"
"8","19","25","44","13","21","15","0","1264","86","28","35","4","4","80","0","1.485","Win"
"9","13","18","31","0","12","13","1","1235","99","43","29","3","2","78","0","2.984","Win"
"10","12","15","27","-2","10","5","1","1213","69","23","26","2","0","43","0","3.587","Loss"
"11","1","16","17","-2","20","4","0","1199","57","47","26","4","2","98","0","3.018","Loss"
"12","8","13","21","0","38","7","0","1218","74","47","34","5","2","131","0","4.795","Win"
"13","13","21","34","-3","47","11","0","1142","116","34","30","4","2","96","0","3.055","Win"
"14","11","22","33","10","29","8","0","1145","104","41","38","2","1","61","0","1.992","Loss"
"15","11","17","28","-11","33","11","0","1101","123","53","39","5","4","149","1","1.203","Loss"
"16","8","18","26","-9","43","8","0","1228","103","60","46","5","1","170","1","2.825","Win"
"17","7","17","24","5","17","3","1","1156","91","57","42","4","2","102","0","3.754","Loss"
"18","10","12","22","9","35","7","0","1167","90","44","50","6","3","166","0","3.358","Win"
"19","8","21","29","0","20","11","1","1174","106","49","51","4","2","122","0","2.673","Win"
"20","9","22","31","-14","16","13","0","1180","104","46","29","3","0","75","0","3.213","Loss"
"21","11","14","25","-16","36","10","0","1237","120","48","33","5","2","118","0","2.802","Loss"
"22","6","26","32","5","28","11","0","1208","98","58","45","5","3","116","0","2.224","Win"
"23","10","20","30","-12","22","11","0","1198","104","24","28","4","2","96","0","2.528","Loss"
"24","17","18","35","-1","42","11","0","1234","131","71","40","2","0","40","0","5.677","Win"
"25","5","14","19","-1","16","10","0","1174","98","44","45","4","3","105","3","1.000","Loss"
"26","8","17","25","3","26","7","0","1155","124","60","57","4","0","98","0","3.043","Win"
"27","12","13","25","-6","27","11","0","1107","106","32","33","6","5","159","0","2.727","Loss"
"28","18","20","38","-1","24","14","0","1144","139","40","45","5","3","137","1","1.770","Win"
"29","9","9","18","-18","14","10","0","1221","117","48","44","2","1","67","0","2.504","Loss"
"30","15","11","26","1","20","8","0","1120","100","40","50","5","3","148","1","1.803","Win"
"31","11","20","31","3","18","13","0","1189","114","78","61","3","1","76","0","3.045","Win"
"32","7","8","15","-13","12","4","0","1094","90","74","41","5","5","129","2","0.599","Loss"
"33","23","27","50","13","36","24","0","1201","153","77","38","5","3","132","1","1.920","Win"
"34","9","20","29","10","30","11","1","1190","107","47","47","4","2","99","1","2.776","Loss"
"35","5","20","25","-11","8","9","1","1162","89","39","25","4","1","130","0","2.010","Tie"
"36","1","13","14","0","16","5","0","1252","94","38","38","4","1","100","1","1.726","Tie"
"37","10","27","37","12","48","10","0","1170","118","58","50","3","0","86","0","3.588","Win"
"38","12","27","39","17","24","6","0","1132","109","50","36","3","0","82","0","2.316","Loss"
"39","17","13","30","5","38","9","0","1127","98","58","31","6","1","145","0","3.264","Loss"
"40","15","21","36","0","10","9","0","1220","136","62","46","3","2","86","0","1.344","Win"
"41","11","19","30","5","30","11","0","1166","104","54","35","6","6","191","1","1.653","Win"
"42","13","18","31","12","41","11","0","1175","103","68","30","4","3","88","1","2.482","Loss"
"43","3","16","19","8","20","6","0","1101","80","57","34","4","2","124","1","2.467","Loss"
"44","13","15","28","-4","36","5","0","1195","121","67","53","5","1","135","0","3.739","Win"
"45","6","19","25","12","18","8","0","1156","94","64","37","5","1","112","0","2.796","Tie"
"46","3","17","20","-7","32","5","0","1136","96","43","38","5","4","156","2","2.060","Tie"
"47","10","18","28","14","22","5","1","1208","100","29","43","6","5","188","0","2.504","Win"
"48","8","12","20","-22","16","5","0","1237","129","43","41","5","1","115","0","3.587","Loss"
"49","7","10","17","8","20","2","0","1069","95","34","34","5","2","150","1","2.229","Loss"
"50","10","32","42","3","22","13","0","1241","115","46","31","5","2","149","0","2.557","Win"
"51","10","16","26","5","21","6","0","1207","108","56","49","4","2","122","0","3.097","Loss"
"52","17","16","33","1","22","12","0","1159","126","50","56","3","1","88","0","2.127","Win"
"53","11","23","34","10","31","15","2","1201","116","68","40","5","0","120","0","3.475","Win"
"54","15","18","33","20","15","7","0","1189","112","58","41","5","4","143","1","1.000","Loss"
"55","9","18","27","-3","14","7","0","1162","87","62","48","5","3","118","1","2.161","Win"
"56","5","17","22","-32","16","11","0","1177","117","25","44","5","3","124","0","1.999","Loss"
"57","6","28","34","1","24","8","0","1203","112","50","24","4","2","89","0","2.588","Loss"
"58","11","13","24","6","26","6","0","1096","105","56","29","5","4","120","0","3.241","Win"
"59","5","18","23","-7","20","4","0","1217","107","50","43","7","5","196","2","2.135","Win"
"60","10","6","16","-9","10","4","0","1163","69","78","48","5","1","145","0","2.212","Loss"
"61","10","9","19","2","16","4","0","1180","102","64","42","5","1","143","0","2.752","Win"
"62","9","8","17","0","8","5","0","1135","81","34","31","7","4","188","1","1.877","Loss"
"63","5","18","23","-12","18","7","0","1248","106","80","41","4","1","93","0","3.290","Win"
"64","7","11","18","-10","12","8","0","1203","123","60","38","2","1","54","0","3.002","Loss"
"65","12","9","21","0","28","8","0","1168","105","35","37","4","1","120","1","2.501","Win"
"66","6","14","20","5","21","8","0","1161","75","62","39","4","2","110","0","2.240","Loss"
"67","14","15","29","-6","22","11","1","1230","129","60","38","4","2","112","0","2.031","Loss"
"68","11","19","30","-4","29","7","0","1186","93","42","40","5","5","155","0","1.586","Win"
"69","13","15","28","15","24","5","0","1170","100","38","41","5","3","116","1","2.084","Loss"
"70","11","22","33","7","20","12","1","1200","106","48","50","5","3","124","0","1.412","Win"
"71","10","13","23","-8","6","4","0","1012","95","54","28","6","4","132","0","2.011","Win"
"72","4","11","15","-3","19","5","1","1166","91","67","41","4","3","109","0","2.460","Loss"
"73","7","18","25","0","33","5","0","1060","80","55","37","2","2","40","0","1.488","Loss"
"74","14","26","40","7","22","16","0","1240","118","61","54","6","2","177","1","2.824","Win"
"75","9","8","17","9","32","6","0","1189","80","70","45","4","2","104","0","2.238","Win"
"76","9","21","30","5","18","7","1","1181","116","60","36","3","1","77","0","3.574","Loss"
"77","13","22","35","-3","18","9","1","1195","121","43","35","4","3","128","0","2.173","Loss"
"78","15","18","33","-1","10","10","1","1256","156","68","68","5","4","127","0","1.947","Win"
"79","9","21","30","14","23","7","0","1187","104","40","45","5","2","137","0","2.239","Win"
"80","13","8","21","8","19","4","0","1118","96","63","38","6","3","176","1","2.537","Loss"
"81","8","14","22","-2","4","5","0","1145","96","65","45","7","4","206","1","2.469","Loss"
"82","11","15","26","8","20","5","0","1198","115","51","39","5","4","154","0","2.201","Win"
"83","4","14","18","-8","32","6","0","1083","94","73","35","5","2","120","0","2.914","Loss"
"84","10","25","35","-1","16","8","0","1205","150","55","52","5","2","140","0","3.239","Win"
"85","11","23","34","6","22","12","0","1173","103","60","53","6","3","186","0","2.144","Win"
"86","7","14","21","7","23","2","0","1147","73","48","45","5","0","86","0","3.259","Loss"
"87","12","22","34","-1","39","15","1","1236","118","61","23","5","4","124","0","2.970","Win"
"88","13","19","32","-11","14","11","0","1298","126","40","43","5","3","111","0","2.143","Loss"
"89","10","22","32","3","34","12","0","1247","104","73","52","5","4","138","0","2.392","Win"
"90","7","19","26","-5","20","10","0","1225","130","47","38","4","2","104","0","1.684","Loss"
"91","12","15","27","3","37","8","0","1235","139","67","41","5","2","139","1","1.341","Win"
"92","3","13","16","-1","12","6","0","1118","86","62","32","3","1","95","0","2.175","Loss"
"93","14","21","35","16","27","13","0","1179","123","60","44","6","4","165","0","2.567","Win"
"94","8","15","23","9","21","5","0","1083","96","73","41","2","2","44","0","1.503","Loss"
"95","11","15","26","7","44","6","0","1210","89","41","34","4","1","118","0","3.233","Loss"
"96","11","18","29","-2","21","9","0","1179","122","46","37","4","2","125","0","1.944","Win"
"97","13","16","29","-7","45","13","0","1115","114","36","42","3","1","74","0","2.322","Loss"
"98","11","27","38","-10","24","13","0","1242","144","45","47","7","3","188","0","2.579","Win"
"99","10","23","33","17","14","10","0","1189","114","42","58","5","2","108","0","2.801","Win"
"100","10","16","26","0","26","12","0","1135","89","48","46","4","4","84","0","2.207","Loss"
"101","10","14","24","9","16","11","1","1143","100","50","27","1","0","16","0","6.000","Loss"
"102","14","17","31","7","39","13","0","1215","130","75","38","6","4","167","0","1.968","Win"
"103","6","16","22","-8","38","7","0","1086","98","73","50","6","4","169","0","2.670","Loss"
"104","13","23","36","12","38","9","1","1196","116","50","43","2","1","52","0","3.066","Win"
"105","11","29","40","-4","14","18","0","1184","129","31","49","3","3","82","1","1.631","Loss"
"106","17","31","48","0","22","18","1","1184","124","57","44","4","3","118","0","3.035","Win"
"107","10","13","23","-5","37","8","0","1175","77","47","40","5","2","158","0","4.453","Win"
"108","10","11","21","-17","40","10","0","1121","108","38","35","5","1","158","0","2.769","Loss"
"109","12","11","23","-4","29","7","0","1205","108","60","47","6","3","182","1","1.593","Win"
"110","8","18","26","3","18","6","0","1100","106","53","42","1","0","24","0","1.869","Loss"
"111","9","20","29","-11","16","10","0","1255","104","46","29","5","1","123","0","4.254","Loss"
"112","3","23","26","-8","29","11","0","1116","85","62","33","2","1","49","0","2.403","Win"
"113","10","18","28","2","32","10","0","1198","77","35","53","4","1","89","0","3.788","Win"
"114","7","12","19","-19","25","6","0","1075","94","75","40","5","3","120","0","2.170","Loss"
"115","6","19","25","5","31","6","0","1215","95","52","27","4","1","93","0","3.564","Win"
"116","9","12","21","-4","28","5","0","1202","115","42","51","2","1","53","0","2.284","Loss"
"117","5","15","20","-10","14","6","1","1146","69","38","39","7","7","204","0","1.839","Loss"
"118","12","22","34","21","47","10","0","1167","99","50","43","2","1","37","0","3.019","Win"
"119","8","24","32","7","29","17","0","1229","104","50","39","5","3","124","0","2.179","Win"
"120","11","10","21","-9","15","2","0","1211","99","61","49","6","4","193","0","2.489","Loss"
"121","7","8","15","-9","16","4","0","1165","65","43","36","2","1","74","0","4.262","Loss"
"122","7","18","25","8","19","4","0","1131","90","45","30","3","2","40","0","1.328","Win"
"123","7","16","23","3","28","5","0","1048","64","58","28","5","3","139","1","2.207","Loss"
"124","10","16","26","11","6","6","1","1249","100","56","35","5","3","133","1","1.829","Win"
"125","6","17","23","-5","16","8","1","1162","91","31","27","4","2","123","1","1.479","Win"
"126","8","15","23","-9","20","5","0","1222","90","29","29","4","2","132","0","2.891","Loss"
"127","12","18","30","5","10","13","0","1200","74","39","27","4","1","97","0","3.394","Tie"
"128","8","16","24","5","30","7","0","1190","99","53","43","4","2","84","0","1.978","Tie"
"129","4","10","14","-2","12","4","0","1150","83","31","42","4","0","90","0","3.306","Loss"
"130","10","10","20","-15","33","12","1","1247","95","53","41","4","1","102","0","2.573","Win"
"131","10","19","29","3","12","9","0","1278","103","48","32","4","4","103","1","1.236","Win"
"132","12","8","20","-1","26","9","1","1180","82","53","27","2","0","35","0","5.857","Loss"
"133","5","12","17","-2","28","5","0","1079","67","58","31","4","3","121","0","3.022","Loss"
"134","12","16","28","-1","19","10","0","1195","93","51","32","4","4","117","0","2.041","Win"
"135","11","24","35","8","14","8","1","1173","101","58","45","2","1","58","0","2.482","Win"
"136","7","22","29","-4","10","11","0","1177","112","28","35","5","2","143","0","2.201","Loss"
"137","9","21","30","3","22","8","0","1231","92","56","39","5","4","153","0","2.548","Win"
"138","11","18","29","5","14","5","0","1221","87","50","47","2","0","56","0","2.967","Loss"
"139","9","13","22","-5","12","8","0","1195","89","26","30","2","0","49","0","2.858","Loss"
"140","10","20","30","6","14","10","0","1179","124","43","42","5","3","122","0","2.583","Win"
"141","15","18","33","2","34","12","1","1194","98","45","42","6","2","190","0","2.908","Win"
"142","11","19","30","-2","39","12","0","1177","87","31","23","4","2","98","0","3.265","Loss"
"143","10","21","31","-5","27","10","0","1253","129","59","32","5","1","110","0","2.689","Loss"
"144","15","20","35","9","22","10","0","1211","99","66","46","4","2","93","0","2.018","Win"
"145","18","12","30","6","16","5","1","1117","105","46","39","2","0","40","0","4.764","Loss"
"146","7","15","22","-12","16","6","0","1183","97","35","36","6","4","137","2","2.069","Win"
"147","8","17","25","4","22","6","0","1196","81","38","44","3","1","94","0","1.960","Loss"
"148","17","8","25","16","18","4","0","1102","86","62","23","7","4","158","1","2.131","Win"
"149","7","17","24","-23","21","11","0","1126","103","32","31","7","2","210","0","4.250","Loss"
"150","7","20","27","-6","25","12","0","1136","82","49","45","3","1","86","0","3.334","Win"
"151","11","18","29","-2","22","10","0","1169","101","37","40","6","4","143","0","2.352","Win"
"152","8","14","22","-2","28","8","0","1200","90","43","36","6","2","148","1","3.208","Loss"
"153","13","20","33","6","30","8","0","1227","105","51","46","4","2","110","0","1.656","Win"
"154","12","29","41","19","27","12","0","1191","113","43","38","3","1","82","0","2.687","Loss"
"155","12","17","29","-10","22","13","0","1231","98","62","31","5","2","130","0","2.573","Loss"
"156","7","21","28","-2","22","11","0","1148","89","36","47","5","4","133","1","1.563","Win"
"157","8","17","25","-9","29","7","0","1199","81","41","28","4","2","110","0","3.207","Win"
"158","8","17","25","-3","4","6","1","1117","90","41","30","2","0","53","0","3.003","Loss"
"159","6","20","26","1","21","9","0","1189","97","28","29","6","4","163","1","2.420","Tie"
"160","4","23","27","9","14","10","0","1154","113","38","52","4","1","63","1","3.363","Tie"
"161","7","12","19","-8","25","4","0","1082","108","88","59","3","1","78","0","1.645","Loss"
"162","21","21","42","6","30","10","0","1205","123","47","37","5","5","141","0","2.402","Win"
"163","5","18","23","3","30","5","0","1070","90","41","40","3","2","79","0","2.675","Loss"
"164","17","16","33","-9","39","14","1","1223","126","72","39","6","3","149","0","3.312","Win"
"165","20","30","50","37","34","15","0","1207","109","57","44","4","3","72","0","2.492","Win"
"166","17","25","42","-1","16","14","0","1211","104","63","34","3","2","64","0","2.611","Loss"
"167","6","22","28","-1","31","5","0","1232","113","47","51","3","0","46","0","3.818","Loss"
"168","10","23","33","2","20","8","0","1176","90","52","48","6","3","171","1","3.002","Win"
"169","23","23","46","4","43","9","2","1142","194","95","67","7","2","222","1","3.088","Loss"
"170","23","41","64","-13","48","23","0","1182","228","85","72","9","4","193","1","3.574","Win"
"171","34","40","74","21","42","17","1","1213","240","77","84","9","4","221","0","3.748","Win"
"172","12","30","42","-17","38","17","0","1204","169","91","63","5","3","127","0","2.571","Loss"
"173","17","27","44","-9","36","9","0","1225","223","109","83","10","6","270","3","1.501","Win"
"174","25","34","59","21","38","18","1","1154","178","52","63","7","5","171","0","3.206","Loss"
"175","20","39","59","-9","59","26","1","1223","190","121","77","9","7","264","1","1.948","Win"
"176","19","23","42","10","61","15","0","1072","165","127","75","7","3","192","0","2.930","Loss"
"177","17","31","48","-10","34","17","0","1211","192","81","66","9","3","216","0","2.308","Win"
"178","14","19","33","2","34","13","1","1114","155","107","73","8","5","184","0","2.472","Loss"
"179","15","32","47","-22","34","17","1","1222","180","64","71","5","1","165","0","3.050","Loss"
"180","14","33","47","-4","42","13","0","1228","172","93","58","11","5","248","2","2.498","Win"
"181","13","22","35","4","38","10","0","1185","136","54","43","4","3","120","0","3.207","Win"
"182","14","21","35","-11","22","8","0","1122","105","54","42","3","1","96","0","3.740","Loss"
"183","17","30","47","4","14","13","1","1146","120","33","40","6","2","164","0","3.417","Win"
"184","12","22","34","5","31","10","0","1216","104","66","36","6","4","127","2","2.284","Loss"
"185","11","22","33","9","22","4","0","1196","93","51","39","3","1","83","1","1.715","Loss"
"186","8","16","24","8","18","7","0","1240","112","67","45","7","2","192","2","2.262","Win"
"187","9","11","20","-7","24","8","0","1165","93","34","47","5","4","131","0","2.605","Loss"
"188","11","26","37","6","12","9","0","1157","90","54","46","5","2","148","0","2.029","Win"
"189","10","17","27","5","17","9","2","1030","95","59","41","5","2","146","0","3.154","Win"
"190","13","18","31","-10","10","10","0","1204","105","45","37","4","3","118","0","3.256","Loss"
"191","7","14","21","1","24","1","0","1148","83","59","37","5","3","127","0","1.951","Loss"
"192","11","26","37","13","8","12","0","1186","93","67","51","6","2","112","0","5.356","Win"
"193","15","17","32","14","19","11","0","1088","120","43","44","4","2","103","1","2.028","Loss"
"194","14","23","37","-5","16","10","0","1217","143","44","34","5","3","134","0","3.384","Win"
"195","10","23","33","-15","49","12","0","1210","118","60","49","5","1","183","0","2.395","Win"
"196","15","17","32","-10","42","4","1","1200","143","39","36","5","4","150","0","1.743","Loss"
"197","6","13","19","-16","16","5","0","1217","96","54","45","6","2","146","0","3.741","Loss"
"198","17","24","41","10","23","18","2","1177","108","55","46","6","2","144","1","2.365","Win"
"199","10","16","26","3","16","7","0","1217","89","33","35","1","1","35","0","5.790","Loss"
"200","14","18","32","-2","36","7","1","1197","106","51","31","3","2","61","0","3.654","Win"
"201","7","22","29","20","24","9","0","1157","85","47","42","5","2","134","1","2.808","Loss"
"202","10","22","32","-7","32","9","0","1134","108","28","32","5","5","118","1","2.381","Win"
"203","7","17","24","-2","12","5","0","1160","90","49","32","5","3","121","1","2.298","Win"
"204","9","7","16","-8","12","9","0","1062","78","41","31","5","3","136","0","1.986","Loss"
"205","18","23","41","11","32","10","0","1213","130","87","38","7","6","225","1","2.143","Win"
"206","9","20","29","15","19","3","0","1084","76","30","34","3","2","82","1","1.977","Loss"
"207","7","12","19","-10","24","4","0","1243","81","59","36","6","1","138","0","3.290","Loss"
"208","10","15","25","-8","8","8","0","1197","100","58","48","4","2","118","2","1.259","Win"
"209","12","38","50","16","22","11","0","1226","128","33","52","5","2","141","1","2.409","Win"
"210","9","12","21","-4","10","6","1","1229","109","29","32","4","2","120","0","2.553","Loss"
