"","Goals","Assists","Points","PlMi","PIM","PPP","SHG","ATOI","SOG","HIT","BLK","GS","W","SV","SO","GAA","Result"
"211","4","17","21","-4","31","7","0","1126","95","24","30","6","3","163","1","2.841","Win"
"212","5","8","13","-5","6","1","0","1208","93","38","42","3","2","98","0","1.984","Loss"
"213","9","21","30","-10","18","11","0","1206","122","69","44","1","0","28","0","4.061","Win"
"214","9","14","23","6","8","3","0","1137","80","64","37","3","1","69","0","3.231","Loss"
"215","10","11","21","-11","20","2","1","1118","130","28","46","2","0","40","0","1.966","Tie"
"216","8","14","22","-11","17","3","0","1073","121","55","41","6","3","186","0","2.355","Tie"
"217","11","16","27","26","8","2","0","1104","76","36","38","2","1","47","0","4.000","Loss"
"218","13","22","35","4","16","5","0","1172","95","54","39","3","2","95","0","1.607","Win"
"219","8","17","25","1","22","7","0","1209","95","50","35","4","3","104","0","3.018","Loss"
"220","14","18","32","-1","28","8","0","1187","109","62","33","4","1","102","0","3.582","Win"
"221","7","14","21","3","11","4","0","1159","99","36","27","5","2","131","0","2.924","Loss"
"222","16","17","33","18","33","11","0","1165","90","49","32","5","2","124","0","2.134","Win"
"223","4","16","20","-5","8","7","0","1184","85","48","34","2","2","55","0","1.000","Loss"
"224","16","18","34","3","8","7","0","1177","99","37","39","5","4","172","0","1.600","Win"
"225","7","14","21","11","16","6","0","1091","72","49","32","3","1","85","0","2.662","Loss"
"226","12","20","32","1","23","11","0","1116","89","38","34","3","1","80","0","3.331","Win"
"227","7","15","22","-3","16","5","0","1187","93","34","37","4","4","126","0","2.003","Win"
"228","11","12","23","19","19","4","0","1187","79","34","28","3","2","57","0","4.134","Loss"
"229","13","20","33","13","6","10","1","1237","116","51","44","5","4","132","0","1.554","Win"
"230","8","17","25","10","18","5","0","1110","74","45","49","2","1","78","0","1.011","Loss"
"231","10","18","28","2","20","9","0","1166","96","64","38","6","4","171","1","1.812","Win"
"232","5","14","19","-8","18","8","0","1231","89","47","48","4","1","108","0","1.727","Loss"
"233","11","16","27","1","16","9","1","1216","124","74","42","5","5","145","0","1.766","Win"
"234","7","20","27","-5","25","10","0","1113","100","71","46","4","1","90","0","2.272","Loss"
"235","11","22","33","15","8","9","0","1237","123","71","38","6","2","165","0","3.329","Win"
"236","8","12","20","13","29","1","0","1087","89","63","38","7","2","195","2","1.698","Loss"
"237","11","20","31","10","30","4","0","1188","131","45","49","6","4","166","0","2.578","Win"
"238","7","18","25","-3","10","7","1","1127","82","33","41","5","5","137","1","1.173","Loss"
"239","16","29","45","-2","22","18","1","1183","141","52","35","5","0","133","0","4.161","Win"
"240","5","16","21","0","25","5","0","1251","117","48","47","2","1","52","0","2.957","Loss"
"241","6","11","17","-10","24","5","0","1110","85","57","45","4","2","83","0","3.963","Loss"
"242","10","19","29","11","25","9","1","1212","105","45","40","6","5","171","0","1.825","Win"
"243","7","10","17","-1","20","5","0","1127","86","47","33","2","1","47","0","2.009","Loss"
"244","13","18","31","3","6","10","0","1209","99","37","39","2","2","55","2","0.000","Win"
"245","13","13","26","-5","16","5","1","1074","100","59","26","4","2","87","1","2.957","Loss"
"246","7","14","21","7","40","4","1","1185","66","47","39","5","2","156","0","1.986","Win"
"247","11","20","31","12","13","8","0","1142","81","38","41","6","1","147","0","3.570","Loss"
"248","9","16","25","-12","19","8","0","1227","118","57","38","6","2","185","0","1.802","Win"
"249","7","25","32","3","21","12","0","1202","90","52","38","2","0","70","0","2.810","Loss"
"250","10","16","26","-11","27","5","0","1205","131","67","35","4","3","120","0","2.712","Win"
"251","17","22","39","9","26","13","0","1140","123","34","42","5","4","148","1","1.969","Win"
"252","9","21","30","-3","16","10","1","1200","119","75","38","6","4","128","0","2.610","Loss"
"253","30","40","70","18","42","18","0","1190","254","87","93","11","4","259","1","3.204","Loss"
"254","30","27","57","-5","84","14","1","1180","291","152","98","11","6","278","2","2.785","Win"
"255","24","53","77","21","51","20","2","1178","213","130","101","10","4","297","0","2.913","Win"
"256","24","50","74","2","42","15","1","1213","280","112","104","10","3","264","0","2.858","Loss"
"257","21","30","51","8","34","9","0","1203","202","113","88","11","4","308","1","2.668","Loss"
"258","23","34","57","-20","56","17","2","1169","268","118","83","11","2","311","1","2.646","Win"
"259","18","32","50","-4","40","13","0","1225","187","117","93","5","5","127","0","1.781","Loss"
"260","15","35","50","10","52","13","0","1151","203","82","125","11","8","298","0","2.243","Win"
"261","14","24","38","-10","50","10","0","1123","155","93","71","6","2","161","0","2.808","Loss"
"262","25","28","53","12","60","10","1","1054","208","159","85","8","5","257","1","1.727","Win"
"263","16","31","47","-1","36","18","1","1146","173","67","68","7","5","167","1","1.593","Tie"
"264","23","48","71","22","16","12","0","1205","197","70","78","5","4","140","0","2.336","Tie"
"265","14","16","30","13","30","6","0","1192","114","45","25","4","2","115","0","3.682","Win"
"266","5","13","18","-1","16","5","0","1143","74","38","22","2","0","46","0","2.346","Loss"
"267","5","11","16","-10","18","7","1","1184","63","36","21","4","2","127","0","3.006","Loss"
"268","10","20","30","0","22","7","0","1253","80","59","46","5","2","98","2","3.019","Win"
"269","10","15","25","13","34","7","2","1167","112","22","19","4","4","119","0","2.448","Win"
"270","4","17","21","-2","10","6","0","1189","81","18","23","3","3","90","0","3.221","Loss"
"271","5","29","34","5","16","13","0","1099","45","32","19","2","1","47","0","5.233","Tie"
"272","13","13","26","0","14","11","0","1212","74","20","18","3","2","116","0","3.039","Tie"
"273","8","13","21","1","27","6","0","1151","74","37","21","4","1","131","1","4.304","Win"
"274","8","6","14","-10","8","2","1","1183","66","26","22","3","3","89","1","0.667","Loss"
"275","15","15","30","10","20","7","1","1141","97","45","30","4","2","125","0","1.666","Win"
"276","7","14","21","-9","14","6","0","1213","68","30","32","5","3","135","1","2.057","Loss"
"277","16","17","33","4","30","10","0","1215","141","53","42","8","4","240","1","2.403","Win"
"278","9","23","32","-2","21","5","1","1265","133","44","42","5","2","132","0","3.368","Loss"
"279","10","9","19","6","22","7","0","1175","95","46","27","4","3","105","0","2.019","Loss"
"280","18","18","36","-7","32","16","0","1201","115","38","40","4","2","100","0","3.275","Win"
"281","10","19","29","0","14","12","1","1235","126","73","62","4","0","71","0","2.936","Win"
"282","10","16","26","6","10","8","0","1165","98","26","37","5","1","142","0","2.565","Loss"
"283","15","23","38","11","20","12","0","1135","108","63","27","3","3","86","0","2.333","Tie"
"284","8","26","34","-12","24","15","0","1136","97","38","33","5","1","137","0","2.543","Tie"
"285","9","26","35","2","25","13","0","1150","111","62","35","6","5","180","0","2.978","Win"
"286","13","17","30","-6","24","11","1","1200","132","58","34","4","3","103","1","2.453","Loss"
"287","9","22","31","0","30","9","0","1142","87","34","27","6","5","198","0","1.798","Tie"
"288","12","21","33","-5","20","13","0","1203","102","48","30","4","1","96","0","3.260","Tie"
"289","22","21","43","5","24","11","0","1233","111","34","37","3","2","86","1","2.967","Win"
"290","8","26","34","-6","14","12","0","1234","126","30","33","3","2","85","0","1.674","Loss"
"291","8","21","29","2","20","9","0","1154","94","30","44","4","2","88","0","2.472","Loss"
"292","12","21","33","5","14","10","0","1214","105","44","42","3","1","83","0","2.697","Win"
"293","16","25","41","-1","21","11","1","1254","109","53","46","5","2","138","0","2.521","Win"
"294","9","18","27","-3","30","11","0","1225","99","41","45","6","3","147","0","3.432","Loss"
"295","8","14","22","-15","28","12","0","1151","99","32","35","2","1","58","0","3.500","Loss"
"296","9","17","26","-3","14","8","0","1190","101","43","25","5","3","146","0","2.753","Win"
"297","11","12","23","-1","14","12","0","1179","102","34","34","4","2","137","0","3.760","Loss"
"298","15","12","27","20","26","5","0","1175","123","47","35","4","4","112","1","2.257","Win"
"299","11","15","26","-5","10","8","1","1146","89","27","33","4","1","100","0","3.339","Loss"
"300","5","21","26","-9","16","13","0","1185","87","43","51","5","4","153","1","2.320","Win"
"301","6","15","21","-10","20","9","0","1184","106","27","41","5","3","136","0","2.368","Loss"
"302","12","18","30","2","20","7","0","1230","125","35","44","5","2","154","1","3.060","Win"
"303","11","17","28","-2","20","6","1","1242","138","33","45","4","2","102","0","4.191","Loss"
"304","12","18","30","5","28","6","1","1262","120","63","50","4","1","116","0","3.525","Win"
"305","8","19","27","-1","25","7","0","1212","132","53","61","6","4","153","0","2.444","Win"
"306","9","18","27","-5","33","6","0","1172","130","56","37","5","1","154","0","3.167","Loss"
"307","10","15","25","-9","14","4","0","1281","93","33","38","6","4","171","1","2.146","Win"
"308","7","9","16","-7","42","6","0","1074","88","45","29","3","1","75","0","5.347","Loss"
"309","16","23","39","19","34","10","0","1157","107","49","30","1","1","36","0","4.000","Win"
"310","5","11","16","-15","10","6","0","1178","100","39","39","4","2","127","0","2.001","Loss"
"311","18","10","28","5","40","6","0","1218","143","63","46","6","3","155","0","2.084","Win"
"312","7","20","27","3","18","7","0","1208","78","36","39","2","2","60","0","1.507","Loss"
"313","9","18","27","-2","25","12","1","1266","119","55","26","5","2","119","0","3.881","Loss"
"314","13","24","37","1","14","9","0","1257","121","45","37","6","3","179","0","3.258","Win"
"315","8","29","37","-3","18","15","0","1226","107","53","53","4","2","118","0","2.290","Win"
"316","12","14","26","6","28","2","0","1210","127","38","49","4","2","97","0","1.977","Loss"
"317","9","19","28","4","17","10","0","1262","94","50","38","4","2","120","0","2.942","Loss"
"318","9","21","30","7","18","11","1","1200","102","41","32","4","2","128","0","2.745","Win"
"319","11","12","23","3","35","5","0","1130","104","50","43","2","2","90","0","3.367","Loss"
"320","5","19","24","-3","18","5","0","1202","98","49","47","5","3","146","2","1.820","Win"
"321","10","31","41","6","16","15","0","1188","84","33","24","6","3","169","0","2.612","Win"
"322","8","22","30","-11","20","14","0","1276","97","44","42","3","1","80","0","3.700","Loss"
"323","16","24","40","-1","14","16","1","1227","117","47","42","5","4","112","0","1.991","Win"
"324","11","23","34","-9","16","13","0","1153","101","39","31","6","3","156","0","3.521","Loss"
"325","5","19","24","-4","22","13","0","1098","85","44","42","4","3","108","0","2.743","Loss"
"326","11","14","25","-3","8","8","1","1296","120","54","38","5","4","144","0","1.974","Win"
"327","14","19","33","6","14","10","1","1230","93","40","35","6","3","172","0","2.511","Win"
"328","12","14","26","-11","22","7","0","1204","111","52","40","6","3","165","2","1.745","Loss"
"329","11","21","32","-2","19","12","0","1225","113","45","41","4","2","94","0","2.463","Win"
"330","5","18","23","2","16","5","0","1237","117","54","50","4","1","120","0","3.405","Loss"
"331","15","15","30","2","32","8","0","1196","127","51","31","3","3","74","0","2.845","Loss"
"332","16","29","45","-5","22","16","1","1228","113","67","41","5","4","144","0","1.170","Win"
"333","14","24","38","6","41","9","0","1232","140","54","43","3","1","102","0","3.303","Win"
"334","6","21","27","0","22","3","0","1180","99","44","33","4","2","91","0","2.925","Loss"
"335","4","17","21","-5","51","8","1","1140","89","49","33","4","2","108","0","3.764","Win"
"336","6","13","19","11","18","7","0","1165","76","38","32","6","2","153","0","2.656","Loss"
"337","11","20","31","3","29","8","0","1222","95","52","34","5","4","134","1","2.185","Win"
"338","9","19","28","14","18","8","0","1152","100","53","36","5","2","137","1","2.757","Loss"
"339","19","20","39","17","22","10","1","1193","137","61","41","4","3","132","0","2.981","Win"
"340","13","22","35","-2","49","13","0","1158","89","46","35","4","1","95","0","2.947","Loss"
"341","12","19","31","-2","16","7","2","1173","109","57","33","5","1","123","0","3.160","Loss"
"342","15","18","33","16","20","11","0","1173","101","51","55","4","2","111","0","2.292","Win"
"343","8","12","20","2","24","4","0","1216","77","38","20","6","4","158","0","2.821","Loss"
"344","12","20","32","-8","22","11","0","1168","112","46","24","5","3","147","0","1.781","Win"
"345","14","16","30","-7","18","11","1","1249","115","34","34","4","1","95","0","4.001","Win"
"346","12","22","34","3","29","11","0","1204","106","34","40","3","0","58","0","3.749","Loss"
"347","7","19","26","3","36","8","0","1292","122","45","33","4","2","145","2","1.960","Tie"
"348","6","21","27","-1","40","7","0","1109","61","46","35","5","4","145","0","2.837","Tie"
"349","6","25","31","11","26","13","0","1112","108","59","48","3","3","101","0","1.617","Loss"
"350","15","29","44","6","27","20","0","1232","152","58","40","5","1","181","0","2.791","Win"
"351","10","25","35","-1","20","12","1","1190","120","48","50","5","3","147","0","2.151","Win"
"352","10","22","32","-8","22","11","0","1148","118","62","49","5","2","171","0","3.142","Loss"
"353","14","14","28","-10","16","11","0","1209","98","48","26","6","2","164","1","2.605","Loss"
"354","8","24","32","3","10","13","0","1172","117","50","28","4","3","109","0","3.661","Win"
"355","17","22","39","10","16","14","0","1181","124","63","31","5","1","142","0","3.068","Win"
"356","9","15","24","1","26","6","0","1279","119","58","47","6","5","120","1","1.942","Loss"
"357","14","16","30","-10","6","10","0","1244","140","56","55","3","2","86","1","0.980","Loss"
"358","16","15","31","11","24","3","1","1230","154","55","36","6","2","207","0","2.426","Win"
"359","14","22","36","-6","18","14","0","1150","97","42","52","5","4","165","1","1.754","Win"
"360","17","20","37","-9","8","18","0","1204","122","43","50","5","1","136","0","4.326","Loss"
"361","11","21","32","11","24","6","0","1168","130","51","35","4","1","125","0","3.544","Win"
"362","13","13","26","7","10","10","0","1068","86","58","47","3","2","72","0","2.570","Loss"
"363","9","16","25","-5","22","8","0","1234","104","46","60","4","0","113","0","2.509","Loss"
"364","9","22","31","-8","22","14","1","1200","100","39","40","5","3","149","1","1.821","Win"
"365","7","13","20","-25","39","7","1","1220","122","60","55","3","1","73","0","2.643","Win"
"366","16","19","35","4","25","9","1","1156","103","51","49","2","0","58","0","4.391","Loss"
"367","11","17","28","-7","34","8","0","1262","148","65","38","5","3","137","0","2.228","Win"
"368","10","17","27","11","32","5","0","1162","117","53","18","7","4","174","1","2.411","Loss"
"369","9","20","29","2","8","10","0","1147","85","30","33","5","3","140","1","3.615","Loss"
"370","8","13","21","-3","10","4","0","1189","78","37","38","7","7","188","0","1.429","Win"
"371","8","17","25","-13","20","10","0","1257","120","52","52","6","2","158","1","3.374","Win"
"372","16","13","29","-3","24","6","0","1145","124","36","45","5","3","154","0","2.955","Loss"
"373","12","15","27","7","24","6","0","1120","105","54","53","5","2","159","0","3.158","Loss"
"374","8","28","36","-9","33","15","1","1282","108","48","51","6","4","138","1","1.977","Win"
"375","4","20","24","4","26","6","0","1181","86","45","39","4","3","110","0","2.758","Loss"
"376","13","22","35","-1","25","15","0","1274","113","66","42","5","4","148","1","1.805","Win"
"377","10","18","28","-3","16","6","0","1198","91","34","39","3","1","66","0","3.917","Loss"
"378","12","18","30","-13","20","10","0","1191","126","59","47","3","2","92","0","2.034","Win"
"379","15","25","40","15","28","11","0","1167","111","63","42","4","2","118","0","3.608","Win"
"380","10","19","29","-13","24","9","0","1231","119","47","41","4","1","95","0","3.786","Loss"
"381","6","29","35","11","12","10","0","1181","96","53","28","5","2","121","0","3.367","Loss"
"382","12","19","31","-7","20","5","0","1239","124","52","46","5","1","134","0","2.679","Win"
"383","9","16","25","17","24","7","0","1171","111","40","38","3","1","80","0","3.848","Loss"
"384","13","18","31","4","18","9","1","1190","104","55","43","5","3","125","0","3.235","Win"
"385","12","13","25","-1","15","8","1","1243","103","72","35","5","2","120","0","3.435","Loss"
"386","6","17","23","6","24","8","0","1130","132","54","65","5","3","140","0","2.667","Win"
"387","13","19","32","-6","41","4","0","1169","128","65","49","4","1","108","0","2.324","Loss"
"388","12","20","32","20","10","8","0","1167","110","45","50","5","4","142","1","1.194","Win"
"389","13","15","28","-2","34","6","0","1212","98","57","62","2","0","38","0","1.431","Win"
"390","10","12","22","4","22","4","0","1147","113","70","37","3","1","75","0","2.627","Loss"
"391","12","19","31","-3","22","9","1","1216","130","54","62","6","2","154","0","1.985","Loss"
"392","17","26","43","22","44","14","0","1181","149","68","44","5","3","133","1","1.771","Win"
"393","5","15","20","-10","21","1","0","1179","128","63","46","5","3","119","0","2.523","Win"
"394","10","11","21","-6","24","11","1","1186","107","43","36","4","1","111","0","2.773","Loss"
"395","1","16","17","7","19","5","0","1230","65","37","46","5","1","134","0","2.648","Loss"
"396","9","16","25","-12","22","10","0","1168","100","30","44","5","5","146","1","0.994","Win"
"397","8","20","28","-7","30","11","0","1204","83","46","31","5","2","127","1","2.573","Loss"
"398","14","18","32","-3","30","12","0","1228","105","52","43","4","3","125","0","1.510","Win"
"399","9","19","28","-8","28","13","0","1268","140","71","45","6","4","190","0","2.240","Win"
"400","8","20","28","2","42","6","0","1232","115","45","44","4","2","110","1","2.022","Loss"
"401","12","19","31","-10","24","14","0","1251","87","21","28","3","1","90","0","4.003","Loss"
"402","7","15","22","0","26","7","0","1132","107","39","40","6","2","172","0","2.636","Win"
"403","10","17","27","4","10","12","0","1152","118","48","31","6","5","157","1","2.281","Win"
"404","6","8","14","-8","29","2","1","1122","82","43","31","5","2","191","0","2.730","Loss"
"405","10","22","32","10","10","9","0","1124","102","41","42","4","0","54","0","6.926","Loss"
"406","8","22","30","0","26","11","0","1265","106","52","54","5","2","125","1","2.714","Win"
"407","10","29","39","-3","30","14","0","1208","142","34","34","5","4","151","0","2.209","Win"
"408","16","11","27","-2","17","12","0","1197","114","53","32","4","3","123","1","1.960","Loss"
"409","8","15","23","6","16","5","0","1181","71","40","38","3","2","96","0","3.270","Win"
"410","4","9","13","-6","12","2","0","1180","71","34","36","3","1","85","0","2.055","Loss"
"411","5","7","12","-2","24","4","0","1123","71","34","39","4","2","102","0","2.754","Loss"
"412","10","12","22","7","8","4","1","1151","54","41","27","4","2","128","0","2.223","Win"
"413","10","9","19","8","8","3","1","1113","84","52","30","4","1","105","0","1.931","Win"
"414","9","17","26","1","10","11","0","1317","78","38","29","4","1","103","0","2.585","Loss"
"415","3","13","16","0","12","4","0","1110","60","35","33","3","1","101","0","2.601","Tie"
"416","5","11","16","1","22","4","0","1174","78","33","28","2","2","61","0","2.769","Tie"
"417","7","13","20","2","18","6","0","1180","92","32","22","3","3","90","0","2.292","Win"
"418","5","14","19","-5","17","5","0","1103","66","20","26","4","2","119","0","2.422","Loss"
"419","9","16","25","2","10","10","0","1186","84","23","38","4","0","128","0","2.588","Win"
"420","5","12","17","9","8","4","0","1148","70","25","25","2","1","63","0","2.036","Loss"
